Airline,Source,Destination,Total_Stops,Additional_Info,Price,Date_of_Journey_day,Date_of_Journey_month,Date_of_Journey_weekday,Date_of_Journey_hour,Date_of_Journey_minute,Route_stops,Dep_Time_minutes,Arrival_Time_minutes,Duration_minutes
IndiGo,Banglore,New Delhi,non-stop,No info,3897,24,3,6,0,0,1.0,1340.0,70,170
Air India,Kolkata,Banglore,2 stops,No info,7662,1,5,2,0,0,3.0,350.0,795,445
Jet Airways,Delhi,Cochin,2 stops,No info,13882,9,6,6,0,0,3.0,565.0,265,1140
IndiGo,Kolkata,Banglore,1 stop,No info,6218,12,5,6,0,0,2.0,1085.0,1410,325
IndiGo,Banglore,New Delhi,1 stop,No info,13302,1,3,4,0,0,2.0,1010.0,1295,285
SpiceJet,Kolkata,Banglore,non-stop,No info,3873,24,6,0,0,0,1.0,540.0,685,145
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,12,3,1,0,0,2.0,1135.0,625,930
Jet Airways,Banglore,New Delhi,1 stop,No info,22270,1,3,4,0,0,2.0,480.0,305,1265
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,11087,12,3,1,0,0,2.0,535.0,625,1530
Multiple carriers,Delhi,Cochin,1 stop,No info,8625,27,5,0,0,0,2.0,685.0,1155,470
Air India,Delhi,Cochin,1 stop,No info,8907,1,6,5,0,0,2.0,585.0,1380,795
IndiGo,Kolkata,Banglore,non-stop,No info,4174,18,4,3,0,0,1.0,1220.0,1375,155
Air India,Chennai,Kolkata,non-stop,No info,4667,24,6,0,0,0,1.0,700.0,835,135
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,9,5,3,0,0,2.0,1270.0,560,730
IndiGo,Kolkata,Banglore,non-stop,No info,4804,24,4,2,0,0,1.0,1035.0,1190,155
Air India,Delhi,Cochin,2 stops,No info,14011,3,3,6,0,0,3.0,1000.0,1155,1595
SpiceJet,Delhi,Cochin,1 stop,No info,5830,15,4,0,0,0,2.0,525.0,795,270
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,12,6,2,0,0,2.0,840.0,755,1355
Air India,Delhi,Cochin,2 stops,No info,13381,12,6,2,0,0,3.0,1215.0,1155,1380
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,27,5,0,0,0,2.0,960.0,755,1235
GoAir,Delhi,Cochin,1 stop,No info,19495,6,3,2,0,0,2.0,850.0,1160,310
Air India,Banglore,New Delhi,1 stop,No info,6955,21,3,3,0,0,2.0,1320.0,800,920
IndiGo,Banglore,Delhi,non-stop,No info,3943,3,4,2,0,0,1.0,240.0,410,170
IndiGo,Banglore,Delhi,non-stop,No info,4823,1,5,2,0,0,1.0,1135.0,1310,175
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7757,6,5,0,0,0,2.0,1135.0,495,800
Jet Airways,Delhi,Cochin,2 stops,No info,13292,9,6,6,0,0,3.0,1285.0,755,910
IndiGo,Delhi,Cochin,1 stop,No info,8238,1,6,5,0,0,2.0,1310.0,215,345
GoAir,Delhi,Cochin,1 stop,No info,7682,15,5,2,0,0,2.0,420.0,775,355
Vistara,Banglore,Delhi,non-stop,No info,4668,18,6,1,0,0,1.0,585.0,755,170
Vistara,Chennai,Kolkata,non-stop,No info,3687,15,6,5,0,0,1.0,425.0,560,135
Vistara,Chennai,Kolkata,non-stop,No info,3687,18,6,1,0,0,1.0,425.0,560,135
Air India,Kolkata,Banglore,2 stops,No info,13227,1,5,2,0,0,3.0,590.0,1395,805
IndiGo,Banglore,Delhi,non-stop,No info,4423,6,4,5,0,0,1.0,240.0,410,170
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,10919,15,6,5,0,0,3.0,875.0,755,1320
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,18,5,5,0,0,2.0,425.0,755,330
IndiGo,Delhi,Cochin,1 stop,No info,5894,27,6,3,0,0,2.0,635.0,1260,625
SpiceJet,Kolkata,Banglore,1 stop,No info,4649,21,5,1,0,0,2.0,905.0,1220,315
Air India,Kolkata,Banglore,non-stop,No info,6245,18,5,5,0,0,1.0,855.0,1005,150
Jet Airways,Banglore,New Delhi,1 stop,No info,19225,6,3,2,0,0,2.0,420.0,795,375
Jet Airways,Delhi,Cochin,1 stop,No info,14924,3,6,0,0,0,2.0,425.0,1140,715
Multiple carriers,Delhi,Cochin,1 stop,No info,9646,21,5,1,0,0,2.0,425.0,1090,665
Air India,Banglore,New Delhi,1 stop,No info,8714,15,3,4,0,0,2.0,405.0,915,510
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12373,18,5,5,0,0,2.0,1255.0,1140,1325
Air Asia,Banglore,Delhi,non-stop,No info,3383,6,5,0,0,0,1.0,670.0,835,165
Multiple carriers,Delhi,Cochin,1 stop,No info,13062,21,3,3,0,0,2.0,540.0,1260,720
SpiceJet,Banglore,New Delhi,non-stop,No check-in baggage included,3527,24,3,6,0,0,1.0,345.0,515,170
IndiGo,Banglore,Delhi,non-stop,No info,3943,27,5,0,0,0,1.0,240.0,410,170
Air India,Chennai,Kolkata,non-stop,No info,4667,3,5,4,0,0,1.0,700.0,835,135
Air India,Kolkata,Banglore,1 stop,No info,6117,15,5,2,0,0,2.0,1140.0,665,965
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,11150,27,6,3,0,0,3.0,1385.0,1140,1195
Jet Airways,Delhi,Cochin,non-stop,In-flight meal not included,7202,9,3,5,0,0,1.0,660.0,855,195
Jet Airways,Kolkata,Banglore,1 stop,No info,12121,1,5,2,0,0,2.0,575.0,655,1520
IndiGo,Banglore,New Delhi,non-stop,No info,4377,24,3,6,0,0,1.0,1340.0,70,170
IndiGo,Banglore,Delhi,non-stop,No info,3943,18,6,1,0,0,1.0,1275.0,15,180
Air Asia,Banglore,Delhi,non-stop,No info,4483,3,4,2,0,0,1.0,1435.0,165,170
Jet Airways,Kolkata,Banglore,1 stop,No info,14231,24,3,6,0,0,2.0,1185.0,720,975
Air India,Banglore,New Delhi,2 stops,No info,17345,1,3,4,0,0,3.0,530.0,1435,905
Vistara,Chennai,Kolkata,non-stop,No info,7414,6,3,2,0,0,1.0,425.0,560,135
Multiple carriers,Delhi,Cochin,1 stop,No info,8073,6,5,0,0,0,2.0,1140.0,90,390
Vistara,Mumbai,Hyderabad,1 stop,No info,12395,6,3,2,0,0,2.0,940.0,1005,1505
Air India,Kolkata,Banglore,1 stop,No info,8366,6,6,3,0,0,2.0,565.0,1310,745
Air India,Delhi,Cochin,1 stop,No info,5117,3,4,2,0,0,2.0,365.0,565,1640
Multiple carriers,Delhi,Cochin,1 stop,No info,12524,3,6,0,0,0,2.0,525.0,1140,615
IndiGo,Delhi,Cochin,1 stop,No info,7191,15,5,2,0,0,2.0,900.0,90,630
Vistara,Chennai,Kolkata,non-stop,No info,3687,24,5,4,0,0,1.0,425.0,560,135
IndiGo,Delhi,Cochin,1 stop,No info,5894,24,6,0,0,0,2.0,635.0,1260,625
Vistara,Banglore,Delhi,non-stop,No info,5403,24,4,2,0,0,1.0,585.0,755,170
Air India,Mumbai,Hyderabad,non-stop,No info,3625,6,5,0,0,0,1.0,835.0,925,90
Air India,Delhi,Cochin,2 stops,No info,10861,21,5,1,0,0,3.0,355.0,1155,800
IndiGo,Chennai,Kolkata,non-stop,No info,6297,12,3,1,0,0,1.0,800.0,935,135
Jet Airways,Mumbai,Hyderabad,non-stop,No info,5678,1,6,5,0,0,1.0,425.0,510,85
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,9134,9,3,5,0,0,2.0,345.0,495,1590
Multiple carriers,Delhi,Cochin,1 stop,In-flight meal not included,10791,24,6,0,0,0,2.0,700.0,1140,440
Jet Airways,Delhi,Cochin,2 stops,No info,12819,24,6,0,0,0,3.0,1385.0,755,810
IndiGo,Delhi,Cochin,1 stop,No info,6893,21,3,3,0,0,2.0,305.0,605,300
Vistara,Banglore,New Delhi,non-stop,No info,7240,9,3,5,0,0,1.0,590.0,755,165
GoAir,Banglore,Delhi,non-stop,No info,3898,3,4,2,0,0,1.0,700.0,870,170
IndiGo,Mumbai,Hyderabad,non-stop,No info,4049,3,4,2,0,0,1.0,385.0,475,90
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,15,6,5,0,0,2.0,1050.0,755,1145
SpiceJet,Chennai,Kolkata,non-stop,No check-in baggage included,3332,21,3,3,0,0,1.0,500.0,635,135
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,9,6,6,0,0,2.0,1270.0,720,890
Jet Airways,Banglore,New Delhi,non-stop,No info,7229,24,3,6,0,0,1.0,1195.0,1355,160
Jet Airways,Kolkata,Banglore,1 stop,No info,13941,6,5,0,0,0,2.0,390.0,280,1330
IndiGo,Delhi,Cochin,1 stop,No info,5894,27,6,3,0,0,2.0,685.0,1260,575
Multiple carriers,Delhi,Cochin,1 stop,No info,10197,18,5,5,0,0,2.0,540.0,1140,600
Jet Airways,Banglore,New Delhi,1 stop,In-flight meal not included,13712,6,3,2,0,0,2.0,845.0,685,1280
IndiGo,Delhi,Cochin,1 stop,No info,5636,24,6,0,0,0,2.0,120.0,445,325
Jet Airways,Delhi,Cochin,2 stops,No info,13014,6,6,3,0,0,3.0,580.0,265,1125
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,7064,1,4,0,0,0,2.0,505.0,1245,740
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10703,24,5,4,0,0,2.0,1225.0,865,1080
Multiple carriers,Delhi,Cochin,1 stop,No info,9646,27,5,0,0,0,2.0,795.0,1350,555
Multiple carriers,Delhi,Cochin,1 stop,No info,17057,6,3,2,0,0,2.0,135.0,800,665
Jet Airways,Banglore,New Delhi,1 stop,No info,13817,12,3,1,0,0,2.0,1015.0,625,1050
Air India,Delhi,Cochin,2 stops,No info,13748,6,3,2,0,0,3.0,355.0,1155,800
Air India,Kolkata,Banglore,non-stop,No info,4880,21,4,6,0,0,1.0,1245.0,1400,155
IndiGo,Chennai,Kolkata,non-stop,No info,3540,21,6,4,0,0,1.0,315.0,460,145
SpiceJet,Banglore,Delhi,non-stop,No check-in baggage included,3257,15,5,2,0,0,1.0,355.0,515,160
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,6478,3,6,0,0,0,1.0,1190.0,1370,180
Jet Airways,Mumbai,Hyderabad,non-stop,No info,8040,18,6,1,0,0,1.0,425.0,510,85
Jet Airways,Delhi,Cochin,2 stops,No info,14300,12,6,2,0,0,3.0,1200.0,755,995
Jet Airways,Kolkata,Banglore,1 stop,No info,14781,15,5,2,0,0,2.0,505.0,1245,740
Jet Airways,Kolkata,Banglore,1 stop,No info,14939,9,6,6,0,0,2.0,1200.0,495,735
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,24,6,0,0,0,2.0,1255.0,265,450
Air India,Kolkata,Banglore,1 stop,No info,6528,12,5,6,0,0,2.0,875.0,875,1440
Air India,Banglore,Delhi,non-stop,No info,6121,1,5,2,0,0,1.0,370.0,535,165
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,13029,18,5,5,0,0,3.0,1170.0,265,535
Multiple carriers,Delhi,Cochin,1 stop,No info,11421,27,3,2,0,0,2.0,700.0,1130,430
Multiple carriers,Delhi,Cochin,1 stop,No info,7574,27,3,2,0,0,2.0,285.0,1155,870
Air India,Delhi,Cochin,2 stops,No info,11596,9,5,3,0,0,3.0,775.0,1155,1820
Jet Airways,Delhi,Cochin,2 stops,No info,15129,24,5,4,0,0,3.0,1385.0,1140,1195
Jet Airways,Banglore,New Delhi,1 stop,No info,13555,18,3,0,0,0,2.0,845.0,305,900
IndiGo,Banglore,Delhi,non-stop,No info,5780,12,4,4,0,0,1.0,1135.0,1310,175
Vistara,Kolkata,Banglore,1 stop,No info,9397,12,5,6,0,0,2.0,1220.0,545,765
Jet Airways,Delhi,Cochin,1 stop,No info,17024,6,3,2,0,0,2.0,1095.0,265,610
GoAir,Delhi,Cochin,1 stop,No info,5281,27,6,3,0,0,2.0,420.0,775,355
Multiple carriers,Delhi,Cochin,1 stop,No info,10348,18,5,5,0,0,2.0,425.0,1350,925
Air India,Delhi,Cochin,1 stop,No info,12677,6,3,2,0,0,2.0,1040.0,565,965
Multiple carriers,Delhi,Cochin,1 stop,No info,15147,3,3,6,0,0,2.0,925.0,95,610
Vistara,Banglore,Delhi,non-stop,No info,4668,12,6,2,0,0,1.0,420.0,580,160
Jet Airways,Delhi,Cochin,1 stop,No info,15554,9,5,3,0,0,2.0,425.0,1140,715
SpiceJet,Banglore,Delhi,non-stop,No info,3971,9,4,1,0,0,1.0,355.0,515,160
Air India,Mumbai,Hyderabad,non-stop,No info,3100,3,5,4,0,0,1.0,900.0,985,85
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,6,5,0,0,0,2.0,1200.0,605,845
Air India,Delhi,Cochin,1 stop,No info,27430,1,3,4,0,0,2.0,1380.0,1155,1215
IndiGo,Chennai,Kolkata,non-stop,No info,3540,12,5,6,0,0,1.0,315.0,460,145
Air India,Kolkata,Banglore,2 stops,No info,10676,21,5,1,0,0,3.0,720.0,670,1390
Jet Airways,Kolkata,Banglore,1 stop,No info,13044,12,6,2,0,0,2.0,845.0,495,1090
Jet Airways,Kolkata,Banglore,1 stop,No info,14388,6,5,0,0,0,2.0,1200.0,720,960
IndiGo,Banglore,Delhi,non-stop,No info,3943,24,6,0,0,0,1.0,240.0,410,170
IndiGo,Chennai,Kolkata,non-stop,No info,3597,3,6,0,0,0,1.0,885.0,1025,140
Air India,Banglore,New Delhi,1 stop,No info,5932,21,3,3,0,0,2.0,710.0,1190,480
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,10262,15,6,5,0,0,2.0,690.0,265,1015
Vistara,Delhi,Cochin,non-stop,No info,6216,12,5,6,0,0,1.0,880.0,1070,190
IndiGo,Kolkata,Banglore,non-stop,No info,4804,15,6,5,0,0,1.0,1225.0,1390,165
Multiple carriers,Delhi,Cochin,1 stop,No info,14067,21,5,1,0,0,2.0,690.0,90,840
Jet Airways,Delhi,Cochin,2 stops,No info,15129,18,5,5,0,0,3.0,1150.0,1140,1430
Jet Airways,Delhi,Cochin,2 stops,No info,13376,6,6,3,0,0,3.0,405.0,265,1300
Air India,Delhi,Cochin,2 stops,No info,10441,27,6,3,0,0,3.0,1320.0,1155,1275
Jet Airways,Banglore,Delhi,non-stop,In-flight meal not included,4030,24,5,4,0,0,1.0,360.0,525,165
Jet Airways,Delhi,Cochin,1 stop,No info,17024,3,3,6,0,0,2.0,480.0,1130,650
Multiple carriers,Delhi,Cochin,1 stop,No info,13017,9,4,1,0,0,2.0,1050.0,90,480
GoAir,Kolkata,Banglore,1 stop,No info,6686,6,6,3,0,0,2.0,1410.0,465,495
IndiGo,Delhi,Cochin,1 stop,No info,5636,15,6,5,0,0,2.0,120.0,445,325
IndiGo,Delhi,Cochin,1 stop,No info,6442,9,6,6,0,0,2.0,455.0,970,515
Multiple carriers,Delhi,Cochin,1 stop,No info,9486,21,5,1,0,0,2.0,785.0,55,710
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,21,5,1,0,0,2.0,1200.0,1415,1655
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,15318,3,6,0,0,0,3.0,1200.0,265,505
Air India,Delhi,Cochin,1 stop,No info,5117,3,4,2,0,0,2.0,750.0,565,1255
IndiGo,Delhi,Cochin,1 stop,No info,6147,24,6,0,0,0,2.0,910.0,1200,290
Multiple carriers,Delhi,Cochin,1 stop,No info,7005,9,6,6,0,0,2.0,770.0,1260,490
SpiceJet,Kolkata,Banglore,non-stop,No info,3873,3,4,2,0,0,1.0,1340.0,40,140
Jet Airways,Delhi,Cochin,2 stops,In-flight meal not included,9270,21,3,3,0,0,3.0,1105.0,1130,1465
GoAir,Banglore,Delhi,non-stop,No info,3898,27,6,3,0,0,1.0,700.0,870,170
Jet Airways,Kolkata,Banglore,1 stop,No info,14781,12,5,6,0,0,2.0,505.0,1245,740
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,8586,24,5,4,0,0,2.0,1200.0,495,735
Air India,Kolkata,Banglore,2 stops,No info,10697,9,5,3,0,0,3.0,500.0,475,1415
Jet Airways,Delhi,Cochin,2 stops,No info,14300,27,6,3,0,0,3.0,1200.0,755,995
IndiGo,Banglore,New Delhi,non-stop,No info,8855,3,3,6,0,0,1.0,1135.0,1305,170
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,10844,12,5,6,0,0,2.0,990.0,1095,1545
Jet Airways,Delhi,Cochin,1 stop,No info,17024,6,3,2,0,0,2.0,135.0,265,1570
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9314,1,5,2,0,0,2.0,575.0,865,1730
IndiGo,Banglore,New Delhi,non-stop,No info,4777,24,3,6,0,0,1.0,40.0,205,165
Air India,Kolkata,Banglore,1 stop,No info,7662,9,6,6,0,0,2.0,720.0,795,1515
IndiGo,Delhi,Cochin,1 stop,No info,6442,9,5,3,0,0,2.0,410.0,970,560
SpiceJet,Delhi,Cochin,1 stop,No info,5264,12,6,2,0,0,2.0,525.0,795,270
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,12898,27,5,0,0,0,2.0,780.0,265,925
Air India,Mumbai,Hyderabad,non-stop,No info,6092,3,3,6,0,0,1.0,835.0,925,90
SpiceJet,Banglore,Delhi,non-stop,No info,3311,21,5,1,0,0,1.0,355.0,515,160
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,6540,27,3,2,0,0,2.0,1155.0,265,550
IndiGo,Banglore,Delhi,non-stop,No info,3419,27,5,0,0,0,1.0,90.0,255,165
Jet Airways,Delhi,Cochin,1 stop,In-flight meal not included,5177,3,4,2,0,0,2.0,840.0,755,1355
Air India,Delhi,Cochin,non-stop,No info,8246,18,4,3,0,0,1.0,1085.0,1270,185
Jet Airways,Kolkata,Banglore,1 stop,No info,14676,9,6,6,0,0,2.0,575.0,1265,690
Multiple carriers,Delhi,Cochin,1 stop,No info,13587,27,6,3,0,0,2.0,690.0,1260,570
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,6,5,0,0,0,2.0,1270.0,560,730
Jet Airways,Kolkata,Banglore,1 stop,No info,13044,12,6,2,0,0,2.0,990.0,605,1055
IndiGo,Delhi,Cochin,1 stop,No info,5073,3,4,2,0,0,2.0,1225.0,90,305
Vistara,Kolkata,Banglore,1 stop,No info,9345,21,5,1,0,0,2.0,1020.0,1130,1550
Jet Airways,Kolkata,Banglore,1 stop,In-flight meal not included,9663,6,5,0,0,0,2.0,845.0,605,1200
