Airline,Source,Destination,Route,Arrival_Time,Additional_Info,Price,Date_of_Journey_day,Date_of_Journey_month,Date_of_Journey_weekday,Date_of_Journey_hour,Date_of_Journey_minute,Dep_Time_minutes,Duration_minutes
IndiGo,Banglore,New Delhi,BLR ? DEL,01:10 22 Mar,No info,3897,24,3,6,0,0,1340.0,170
Air India,Kolkata,Banglore,CCU ? IXR ? BBI ? BLR,13:15,No info,7662,1,5,2,0,0,350.0,445
Jet Airways,Delhi,Cochin,DEL ? LKO ? BOM ? COK,04:25 10 Jun,No info,13882,9,6,6,0,0,565.0,1140
IndiGo,Kolkata,Banglore,CCU ? NAG ? BLR,23:30,No info,6218,12,5,6,0,0,1085.0,325
IndiGo,Banglore,New Delhi,BLR ? NAG ? DEL,21:35,No info,13302,1,3,4,0,0,1010.0,285
SpiceJet,Kolkata,Banglore,CCU ? BLR,11:25,No info,3873,24,6,0,0,0,540.0,145
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,10:25 13 Mar,In-flight meal not included,11087,12,3,1,0,0,1135.0,930
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,05:05 02 Mar,No info,22270,1,3,4,0,0,480.0,1265
Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,10:25 13 Mar,In-flight meal not included,11087,12,3,1,0,0,535.0,1530
Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,19:15,No info,8625,27,5,0,0,0,685.0,470
Air India,Delhi,Cochin,DEL ? BLR ? COK,23:00,No info,8907,1,6,5,0,0,585.0,795
IndiGo,Kolkata,Banglore,CCU ? BLR,22:55,No info,4174,18,4,3,0,0,1220.0,155
Air India,Chennai,Kolkata,MAA ? CCU,13:55,No info,4667,24,6,0,0,0,700.0,135
Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,09:20 10 May,In-flight meal not included,9663,9,5,3,0,0,1270.0,730
IndiGo,Kolkata,Banglore,CCU ? BLR,19:50,No info,4804,24,4,2,0,0,1035.0,155
Air India,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:15 04 Mar,No info,14011,3,3,6,0,0,1000.0,1595
SpiceJet,Delhi,Cochin,DEL ? PNQ ? COK,13:15,No info,5830,15,4,0,0,0,525.0,270
Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,12:35 13 Jun,In-flight meal not included,10262,12,6,2,0,0,840.0,1355
Air India,Delhi,Cochin,DEL ? CCU ? BOM ? COK,19:15 13 Jun,No info,13381,12,6,2,0,0,1215.0,1380
